Divisor (X-axis),Normalized Distance (Y-axis),Is_Local_Minima
250.5,128.94610778443106,False
250.0,129.15600000000006,False
249.5,129.36673346693388,False
249.0,129.578313253012,False
248.5,129.78873239436624,False
248.0,129.99999999999994,False
247.5,130.21010101010094,False
247.0,130.42105263157902,False
246.5,130.6328600405679,False
246.0,130.84552845528435,False
245.5,131.05702647657836,False
245.0,131.2693877551021,False
244.5,131.48261758691208,False
244.0,131.6967213114753,False
243.5,131.90965092402473,False
243.0,132.12345679012356,False
242.5,132.33814432989723,False
242.0,132.55371900826447,False
241.5,132.76811594202914,False
241.0,132.9834024896266,False
240.5,133.19958419958408,False
240.0,133.41666666666686,False
239.5,133.63465553235898,False
239.0,133.8535564853556,False
238.5,134.0733752620546,False
238.0,134.29411764705884,False
237.5,134.5157894736841,False
237.0,134.74261603375518,False
236.5,134.97040169133174,False
236.0,135.19915254237299,False
235.5,135.42887473460706,False
235.0,135.65957446808517,False
234.5,135.89125799573563,False
234.0,136.12393162393164,False
233.5,136.35760171306205,False
233.0,136.5922746781116,False
232.5,136.82580645161286,False
232.0,137.0603448275862,False
231.5,137.29589632829376,False
231.0,137.53679653679646,False
230.5,137.7787418655096,False
230.0,138.0217391304345,False
229.5,138.2636165577342,False
229.0,138.50655021834064,False
228.5,138.7483588621443,False
228.0,138.99122807017537,False
227.5,139.23296703296728,False
227.0,139.47577092511025,False
226.5,139.7196467991171,False
226.0,139.9646017699116,False
225.5,140.21064301552113,False
225.0,140.4577777777777,False
224.5,140.71046770601322,False
224.0,140.9642857142858,False
223.5,141.21923937360185,False
223.0,141.47533632287002,False
222.5,141.73258426966288,False
222.0,141.9909909909911,False
221.5,142.25056433408577,False
221.0,142.51131221719461,False
220.5,142.77097505668925,False
220.0,143.03181818181824,False
219.5,143.29157175398637,False
219.0,143.55251141552512,False
218.5,143.81464530892433,False
218.0,144.0779816513761,False
217.5,144.3425287356322,False
217.0,144.6082949308761,False
216.5,144.87297921478063,False
216.0,145.13888888888897,False
215.5,145.40603248259848,False
215.0,145.67441860465115,False
214.5,145.94172494172503,False
214.0,146.21028037383172,False
213.5,146.47540983606572,False
213.0,146.74178403755852,False
212.5,147.00941176470567,False
212.0,147.2783018867924,False
211.5,147.5484633569741,False
211.0,147.81990521327018,False
210.5,148.09026128266044,False
210.0,148.3619047619047,False
209.5,148.63484486873494,False
209.0,148.90909090909042,False
208.5,149.17985611510792,False
208.0,149.45192307692304,False
207.5,149.72530120481917,False
207.0,150.0000000000001,False
206.5,150.27602905568997,False
206.0,150.55339805825233,False
205.5,150.8321167883211,False
205.0,151.1121951219514,False
204.5,151.39364303178468,False
204.0,151.67647058823522,False
203.5,151.95823095823104,False
203.0,152.24137931034474,False
202.5,152.525925925926,False
202.0,152.81188118811883,False
201.5,153.09925558312653,False
201.0,153.39303482587073,False
200.5,153.69326683291746,False
200.0,153.99499999999992,False
199.5,154.29824561403498,False
199.0,154.60301507537702,False
198.5,154.90931989924457,False
198.0,155.21717171717154,False
197.5,155.52658227848104,False
197.0,155.83756345177667,False
196.5,156.14758269720102,False
196.0,156.45918367346937,False
195.5,156.77237851662417,False
195.0,157.08717948717955,False
194.5,157.40359897172243,False
194.0,157.72164948453602,False
193.5,158.04134366925064,False
193.0,158.3626943005182,False
192.5,158.68571428571406,False
192.0,159.01041666666666,False
191.5,159.3342036553526,False
191.0,159.6596858638744,False
190.5,159.98425196850403,False
190.0,160.3105263157895,False
189.5,160.6358839050132,False
189.0,160.962962962963,False
188.5,161.2891246684349,False
188.0,161.61702127659584,False
187.5,161.94400000000016,False
187.0,162.27272727272737,False
186.5,162.60321715817685,False
186.0,162.93548387096763,False
185.5,163.26954177897593,False
185.0,163.60540540540535,False
184.5,163.94308943089442,False
184.0,164.2826086956521,False
183.5,164.62125340599442,False
183.0,164.96174863387958,False
182.5,165.30410958904108,False
182.0,165.6483516483516,False
181.5,165.99449035812648,False
181.0,166.34254143646388,False
180.5,166.68421052631578,False
